timestamp, x, y, z, bat
2020-05-04 04:47:52:488, -23, 229, 72, 3.69
2020-05-04 04:47:52:528, -21, 227, 70, 3.71
2020-05-04 04:47:52:568, -19, 229, 69, 3.69
2020-05-04 04:47:52:607, -19, 230, 72, 3.69
2020-05-04 04:47:52:647, -22, 229, 68, 3.70
2020-05-04 04:47:52:687, -20, 230, 66, 3.69
2020-05-04 04:47:52:727, -21, 230, 70, 3.69
2020-05-04 04:47:52:766, -19, 228, 67, 3.69
2020-05-04 04:47:52:806, -21, 227, 70, 3.71
2020-05-04 04:47:52:846, -23, 231, 70, 3.71
2020-05-04 04:47:52:885, -22, 232, 69, 3.71
2020-05-04 04:47:52:925, -22, 227, 71, 3.69
2020-05-04 04:47:52:965, -23, 227, 72, 3.70
2020-05-04 04:47:53:005, -21, 228, 71, 3.70
2020-05-04 04:47:53:044, -20, 227, 69, 3.70
2020-05-04 04:47:53:084, -18, 229, 71, 3.71
2020-05-04 04:47:53:124, -17, 229, 70, 3.70
2020-05-04 04:47:53:164, -19, 231, 71, 3.70
2020-05-04 04:47:53:203, -22, 229, 68, 3.71
2020-05-04 04:47:53:243, -22, 229, 68, 3.71
2020-05-04 04:47:53:283, -23, 228, 70, 3.71
2020-05-04 04:47:53:322, -22, 227, 72, 3.70
2020-05-04 04:47:53:362, -19, 227, 70, 3.69
2020-05-04 04:47:53:402, -20, 227, 68, 3.70
2020-05-04 04:47:53:442, -19, 230, 69, 3.71
2020-05-04 04:47:53:481, -17, 229, 71, 3.69
2020-05-04 04:47:53:521, -18, 228, 69, 3.70
2020-05-04 04:47:53:561, -17, 225, 68, 3.70
2020-05-04 04:47:53:601, -16, 225, 71, 3.69
2020-05-04 04:47:53:640, -19, 227, 70, 3.71
2020-05-04 04:47:53:680, -19, 229, 72, 3.71
2020-05-04 04:47:53:720, -19, 230, 69, 3.68
2020-05-04 04:47:53:759, -20, 230, 72, 3.71
2020-05-04 04:47:53:799, -21, 229, 71, 3.72
2020-05-04 04:47:53:839, -19, 230, 73, 3.70
2020-05-04 04:47:53:879, -20, 230, 71, 3.70
2020-05-04 04:47:53:918, -18, 229, 71, 3.70
2020-05-04 04:47:53:958, -19, 229, 70, 3.70
2020-05-04 04:47:53:998, -16, 230, 72, 3.71
2020-05-04 04:47:54:038, -17, 228, 72, 3.70
2020-05-04 04:47:54:077, -18, 225, 71, 3.71
2020-05-04 04:47:54:117, -20, 226, 73, 3.70
2020-05-04 04:47:54:157, -18, 228, 72, 3.70
2020-05-04 04:47:54:196, -19, 227, 71, 3.71
2020-05-04 04:47:54:236, -16, 225, 74, 3.71
2020-05-04 04:47:54:276, -18, 226, 75, 3.72
2020-05-04 04:47:54:316, -21, 229, 74, 3.70
2020-05-04 04:47:54:355, -21, 229, 72, 3.71
2020-05-04 04:47:54:395, -21, 229, 74, 3.70
2020-05-04 04:47:54:435, -21, 229, 72, 3.70
2020-05-04 04:47:54:475, -19, 228, 75, 3.69
2020-05-04 04:47:54:514, -20, 228, 77, 3.71
2020-05-04 04:47:54:554, -19, 225, 76, 3.71
2020-05-04 04:47:54:594, -23, 224, 73, 3.71
2020-05-04 04:47:54:633, -19, 224, 73, 3.70
2020-05-04 04:47:54:673, -20, 226, 74, 3.70
2020-05-04 04:47:54:713, -20, 227, 73, 3.71
2020-05-04 04:47:54:753, -21, 227, 74, 3.71
2020-05-04 04:47:54:792, -21, 227, 73, 3.70
2020-05-04 04:47:54:832, -21, 224, 71, 3.70
2020-05-04 04:47:54:872, -21, 224, 71, 3.69
2020-05-04 04:47:54:912, -18, 227, 73, 3.70
2020-05-04 04:47:54:951, -22, 226, 73, 3.69
2020-05-04 04:47:54:991, -19, 225, 73, 3.69
2020-05-04 04:47:55:031, -21, 225, 72, 3.70
2020-05-04 04:47:55:070, -20, 227, 73, 3.71
2020-05-04 04:47:55:110, -21, 229, 71, 3.71
2020-05-04 04:47:55:150, -20, 229, 73, 3.70
2020-05-04 04:47:55:190, -21, 229, 71, 3.70
2020-05-04 04:47:55:229, -20, 229, 73, 3.71
2020-05-04 04:47:55:269, -20, 230, 75, 3.70
2020-05-04 04:47:55:309, -20, 229, 73, 3.70
2020-05-04 04:47:55:349, -21, 229, 73, 3.70
2020-05-04 04:47:55:388, -19, 228, 72, 3.70
2020-05-04 04:47:55:428, -19, 227, 71, 3.71
2020-05-04 04:47:55:468, -20, 227, 71, 3.70
2020-05-04 04:47:55:507, -20, 228, 70, 3.70
2020-05-04 04:47:55:547, -21, 228, 73, 3.70
2020-05-04 04:47:55:587, -20, 228, 72, 3.68
2020-05-04 04:47:55:627, -21, 226, 71, 3.71
2020-05-04 04:47:55:666, -21, 227, 69, 3.71
2020-05-04 04:47:55:706, -19, 229, 69, 3.69
2020-05-04 04:47:55:746, -21, 228, 69, 3.71
2020-05-04 04:47:55:786, -23, 226, 73, 3.69
2020-05-04 04:47:55:825, -21, 229, 72, 3.69
2020-05-04 04:47:55:865, -21, 230, 73, 3.71
2020-05-04 04:47:55:905, -20, 228, 76, 3.70
2020-05-04 04:47:55:944, -21, 229, 73, 3.71
2020-05-04 04:47:55:984, -20, 228, 73, 3.70
2020-05-04 04:47:56:024, -21, 228, 75, 3.69
2020-05-04 04:47:56:064, -22, 227, 72, 3.69
2020-05-04 04:47:56:103, -23, 225, 73, 3.69
2020-05-04 04:47:56:143, -20, 225, 71, 3.70
2020-05-04 04:47:56:183, -20, 229, 72, 3.69
2020-05-04 04:47:56:223, -19, 228, 70, 3.69
2020-05-04 04:47:56:262, -22, 230, 70, 3.72
2020-05-04 04:47:56:302, -21, 229, 69, 3.71
2020-05-04 04:47:56:342, -20, 228, 72, 3.70
2020-05-04 04:47:56:381, -22, 226, 74, 3.71
2020-05-04 04:47:56:421, -22, 226, 71, 3.71
2020-05-04 04:47:56:461, -21, 227, 70, 3.71
2020-05-04 04:47:56:501, -22, 231, 68, 3.71
2020-05-04 04:47:56:540, -21, 229, 69, 3.70
2020-05-04 04:47:56:580, -20, 229, 71, 3.70
2020-05-04 04:47:56:620, -20, 228, 70, 3.71
2020-05-04 04:47:56:660, -24, 228, 69, 3.71
2020-05-04 04:47:56:699, -22, 230, 69, 3.70
2020-05-04 04:47:56:739, -22, 226, 69, 3.71
2020-05-04 04:47:56:779, -22, 228, 69, 3.70
2020-05-04 04:47:56:818, -21, 228, 68, 3.70
2020-05-04 04:47:56:858, -17, 228, 68, 3.71
2020-05-04 04:47:56:898, -20, 230, 68, 3.71
2020-05-04 04:47:56:938, -18, 230, 69, 3.71
2020-05-04 04:47:56:977, -19, 229, 68, 3.71
2020-05-04 04:47:57:017, -20, 228, 68, 3.69
2020-05-04 04:47:57:057, -18, 226, 68, 3.71
2020-05-04 04:47:57:097, -20, 224, 68, 3.71
2020-05-04 04:47:57:136, -22, 228, 71, 3.69
2020-05-04 04:47:57:176, -22, 228, 69, 3.70
2020-05-04 04:47:57:216, -23, 229, 70, 3.70
2020-05-04 04:47:57:255, -23, 229, 68, 3.71
2020-05-04 04:47:57:295, -20, 230, 67, 3.71
2020-05-04 04:47:57:335, -20, 231, 68, 3.70
2020-05-04 04:47:57:375, -20, 232, 71, 3.70
2020-05-04 04:47:57:414, -22, 231, 73, 3.72
2020-05-04 04:47:57:454, -23, 228, 72, 3.70
2020-05-04 04:47:57:494, -23, 230, 71, 3.71
2020-05-04 04:47:57:534, -22, 229, 68, 3.70
2020-05-04 04:47:57:573, -19, 230, 68, 3.71
